1977	6.8	10.9	11.2	14.2	19.9	23.6	26.1	25.6	20.8	15.2	13.4	5.5
1978	5.1	8.5	11.7	13.5	18.3	24.3	25.8	24.6	19.5	15.1	9.2	9.2
1979	5	8.1	12	13	19.7	24.9	25.1	24.5	21.1	15.3	12.4	8.7
1980	3.9	6.6	9.6	13.2	16.9	22.8	25.4	25.1	21.5	17.5	13.1	8.4
1981	3.3	6.5	12.1	14.4	17.8	24.7	25.1	25	22.2	18.6	8.9	9.1
1982	5.5	4.8	9	12	18.5	23.6	24.9	24.9	22.8	18	9.8	8.2
1983	6.8	5.3	10.4	16	21.2	21.6	26.1	24.3	20.9	14.9	10.6	7.2
1984	6.9	7.3	8.6	12	19.3	22.9	24.4	23.9	22.9	19.1	12	7.2
1985	5.9	3.7	8.9	16.2	21.4	24.1	26.6	27.1	22.4	14.9	12.1	9.2
1986	7	7.2	9.9	15.4	18.7	23.2	24.5	26.2	21.7	15.8	9.9	4.8
1987	5.4	8.3	5.4	13.3	17.2	23.5	27.2	24.9	24	15.5	10.7	8.2
1988	7.9	7.7	9.5	13.2	19.3	24.2	28.2	26.3	22.2	15.7	6.8	5.5
1989	5.6	8.4	11.8	16.2	18	22.4	25.1	25.3	21.7	15.2	10.6	5.9
1990	5.1	8.9	12.8	15.2	18.8	23.6	26.6	25.3	21	16.4	12.9	7.7
1991	4.8	5.6	10.8	13.5	17.1	24.3	25	26.5	21.2	16.9	12.5	3.8
1992	6.2	6.3	10.2	14.6	17.7	23.4	24.9	26.9	21.1	17.2	11.9	6.4
1993	5.6	4.8	8.8	14.4	18.9	23.9	25	25.7	21.6	18.6	9.5	9.3
1994	8.5	7.1	11.6	15.1	18.9	23.4	26.7	26.6	24.4	18	11.6	7.8
1995	5.8	9.8	10.2	14.1	19.1	25.3	26.7	25.2	21.3	15.8	8.3	8.7
1996	5.5	6.1	6.6	12.7	20.9	23.5	25	25.7	19.7	15.1	12.5	8.4
1997	7.5	7.6	9.4	10.6	20.6	24	26.8	24.6	20.2	13.7	11.8	7.5
1998	7	9.4	7.7	15	18.8	24.8	26.7	27.3	21.5	17.1	11.4	5.3
1999	6.4	6	11	15.4	19.4	24.3	27	26.7	22.4	18	11.8	8.5
2000	3.1	7.7	9.3	16.4	20.5	24.2	26.9	26.6	21.8	16.7	14.8	9.3
